"CHIIKIKBN","JUSHOCD","CHIIKINAME","JUSHO","IDO","KEIDO"
"1","00101","大字簑原","佐賀県三養基郡みやき町簑原","33.370167","130.445042"
"1","00102","大字原古賀","佐賀県三養基郡みやき町原古賀","33.365277","130.431098"
"1","00201","大字東尾","佐賀県三養基郡みやき町東尾","33.327329","130.454671"
"1","00202","大字中津隈","佐賀県三養基郡みやき町中津隈","33.322972","130.438345"
"1","00203","大字江口","佐賀県三養基郡みやき町江口","33.312154","130.467564"
"1","00204","大字白壁","佐賀県三養基郡みやき町白壁","33.334195","130.470602"
"1","00301","大字西島","佐賀県三養基郡みやき町西島","33.301286","130.444777"
"1","00302","大字坂口","佐賀県三養基郡みやき町坂口","33.274906","130.441703"
"1","00303","大字天建寺","佐賀県三養基郡みやき町天建寺","33.288990","130.452961"
"1","00304","大字市武","佐賀県三養基郡みやき町市武","33.296256","130.423805"
"1","00305","大字寄人","佐賀県三養基郡みやき町寄人","33.288755","130.413616"
"1","00306","大字東津","佐賀県三養基郡みやき町東津","33.276514","130.418301"
